Size,Ntrial,AvgTestAcc,AvgTrainAcc,AvgConfMatrix,Config
0.3,1,0.5091891891891892,0.5012658227848101,[[34.2 50.8] [40.  60. ]],relu_sgd_constant_(50, 50)
0.3,1,0.5232432432432432,0.5037974683544304,[[16.8 68.2] [20.  80. ]],relu_sgd_constant_(100,)
0.3,1,0.5318918918918919,0.5139240506329115,[[17.  68. ] [18.6 81.4]],relu_sgd_invscaling_(50,)
0.3,1,0.5243243243243243,0.5037974683544304,[[17. 68.] [20. 80.]],relu_sgd_invscaling_(50, 50)
0.3,1,0.5232432432432432,0.5063291139240507,[[16.8 68.2] [20.  80. ]],relu_sgd_invscaling_(100,)
0.3,1,0.5243243243243243,0.5037974683544304,[[17. 68.] [20. 80.]],relu_sgd_adaptive_(50,)
0.3,1,0.5091891891891892,0.5012658227848101,[[34.2 50.8] [40.  60. ]],relu_sgd_adaptive_(50, 50)
0.3,1,0.5232432432432432,0.5037974683544304,[[16.8 68.2] [20.  80. ]],relu_sgd_adaptive_(100,)
0.3,1,0.5783783783783784,0.6278481012658228,[[54.8 30.2] [47.8 52.2]],relu_adam_constant_(50,)
0.3,1,0.5502702702702703,0.5696202531645569,[[40.  45. ] [38.2 61.8]],relu_adam_constant_(50, 50)
0.3,1,0.6237837837837837,0.6556962025316456,[[62.8 22.2] [47.4 52.6]],relu_adam_constant_(100,)
0.3,1,0.5783783783783784,0.6278481012658228,[[54.8 30.2] [47.8 52.2]],relu_adam_invscaling_(50,)
0.3,1,0.5502702702702703,0.5696202531645569,[[40.  45. ] [38.2 61.8]],relu_adam_invscaling_(50, 50)
0.3,1,0.6237837837837837,0.6556962025316456,[[62.8 22.2] [47.4 52.6]],relu_adam_invscaling_(100,)
0.3,1,0.5783783783783784,0.6278481012658228,[[54.8 30.2] [47.8 52.2]],relu_adam_adaptive_(50,)
0.3,1,0.5502702702702703,0.5696202531645569,[[40.  45. ] [38.2 61.8]],relu_adam_adaptive_(50, 50)
0.3,1,0.6237837837837837,0.6556962025316456,[[62.8 22.2] [47.4 52.6]],relu_adam_adaptive_(100,)
0.3,2,0.652972972972973,0.6962025316455697,[[71.  18. ] [46.2 49.8]],identity_lbfgs_constant_(50,)
0.3,2,0.601081081081081,0.640506329113924,[[65.6 23.4] [50.4 45.6]],identity_lbfgs_constant_(50, 50)
0.3,2,0.6475675675675676,0.6886075949367089,[[52.4 36.6] [28.6 67.4]],identity_lbfgs_constant_(100,)
0.3,2,0.652972972972973,0.6962025316455697,[[71.  18. ] [46.2 49.8]],identity_lbfgs_invscaling_(50,)
0.3,2,0.601081081081081,0.640506329113924,[[65.6 23.4] [50.4 45.6]],identity_lbfgs_invscaling_(50, 50)
0.3,2,0.6475675675675676,0.6886075949367089,[[52.4 36.6] [28.6 67.4]],identity_lbfgs_invscaling_(100,)
0.3,2,0.652972972972973,0.6962025316455697,[[71.  18. ] [46.2 49.8]],identity_lbfgs_adaptive_(50,)
0.3,2,0.601081081081081,0.640506329113924,[[65.6 23.4] [50.4 45.6]],identity_lbfgs_adaptive_(50, 50)
0.3,2,0.6475675675675676,0.6886075949367089,[[52.4 36.6] [28.6 67.4]],identity_lbfgs_adaptive_(100,)
